"","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","open.days","Monday.hour","Tuesday.hour","Thursday.hour","Wednesday.hour","Friday.hour","Saturday.hour","Sunday.hour"
"1175","15:0-2:30","15:0-2:30","15:0-2:30","15:0-2:30","15:0-2:30","15:0-2:30","8:0-2:30",7,11.5,11.5,11.5,11.5,11.5,11.5,18.5
"1176",NA,"17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0",NA,5,NA,9,9,9,9,9,NA
"1177","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"1178","15:0-2:0","15:0-2:0","15:0-2:0","12:0-2:0","12:0-2:0","12:0-2:0","12:0-2:0",7,11,11,14,11,14,14,14
"1179",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1180","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:30-2:30","12:0-0:0",7,13,13,13,13,13,15,12
"1181","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0",7,11,11,11,11,11,11,11
"1182","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"1183","0:0-0:0","11:0-20:0","11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-0:0",7,0,9,13,13,14,14,13
"1184",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1185",NA,"19:0-2:0","19:0-2:0","19:0-2:0","19:0-2:0","19:0-2:0",NA,5,NA,7,7,7,7,7,NA
"1186","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-22:30","11:0-22:30","11:0-21:30",7,10.5,10.5,10.5,10.5,11.5,11.5,10.5
"1187","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-0:0","11:30-0:0",NA,6,10.5,10.5,10.5,10.5,12.5,12.5,NA
"1188","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","10:0-2:0",7,15,15,15,15,15,15,16
"1189","10:0-22:0","10:0-22:0","10:0-22:0","10:0-22:0","10:0-23:0","10:0-23:0","10:0-22:0",7,12,12,12,12,13,13,12
"1190",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1191",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1192","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","12:0-22:30","11:0-20:0",7,11,11,11,11,11.5,10.5,9
"1193","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,11,11,11,11,12,12,11
"1194","16:30-22:30","16:30-22:30","16:30-22:30","16:30-22:30","16:30-22:30","16:30-22:30","16:30-22:30",7,6,6,6,6,6,6,6
"1195","6:30-21:0","6:30-21:0","6:30-21:0","6:30-21:0","6:30-21:0","9:0-21:0","9:0-21:0",7,14.5,14.5,14.5,14.5,14.5,12,12
"1196",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1197","0:0-0:0","11:30-22:0","11:30-23:0","11:30-23:0","11:30-2:0","11:30-2:0","11:30-22:0",7,0,10.5,11.5,11.5,14.5,14.5,10.5
"1198","0:0-0:0","17:0-21:0","17:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","15:0-1:0",7,0,4,12,6,13,13,10
"1199","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-1:0","10:0-1:0","10:0-22:0",7,11,11,11,11,14,15,12
"1200","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-2:0","11:0-2:0","11:0-0:0",7,14,14,14,14,15,15,13
"1201","0:0-0:0","11:0-22:0","11:0-22:0","23:30-1:0","11:0-1:0","11:0-1:0","12:0-21:0",7,0,11,1.5,11,14,14,9
"1202",NA,"11:0-19:0","11:0-19:0","11:0-19:0","11:0-19:0",NA,NA,4,NA,8,8,8,8,NA,NA
"1203","7:0-15:0","7:0-15:0","7:0-15:0","7:0-15:0","7:0-15:0",NA,NA,5,8,8,8,8,8,NA,NA
"1204","17:0-22:0","17:0-22:0","17:0-22:0","17:0-22:0","17:0-23:0","17:0-23:0","17:0-21:0",7,5,5,5,5,6,6,4
"1205","0:0-0:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-1:0","11:0-1:0","11:0-23:0",7,0,12,12,12,14,14,12
"1206",NA,"16:0-0:0","16:0-0:0","16:0-0:0","16:0-0:0","11:0-0:0","11:0-22:0",6,NA,8,8,8,8,13,11
"1207",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1208","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0",7,10,10,10,10,10,10,10
"1209","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-22:0",7,12,12,12,12,13,13,11
"1210","4:0-20:0","4:0-20:0","4:0-20:0","4:0-20:0","4:0-20:0","4:0-19:0","4:0-20:0",7,16,16,16,16,16,15,16
"1211","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","12:0-2:0","12:0-2:0",7,15,15,15,15,15,14,14
"1212","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"1213","9:0-15:0","9:0-17:0","9:0-19:0","9:0-17:0","9:0-19:0","9:0-18:0",NA,6,6,8,8,10,10,9,NA
"1214",NA,"8:0-18:0","9:0-18:0","9:0-19:0","9:0-18:0","8:0-16:0",NA,5,NA,10,10,9,9,8,NA
"1215",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1216","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","10:0-21:0",7,11,11,11,11,12,12,11
"1217","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-21:0",7,11,11,11,11,12,12,10
"1218","0:0-0:0","15:0-20:30","15:0-20:30","15:0-20:30","15:0-21:0","13:0-20:30","13:0-20:30",7,0,5.5,5.5,5.5,6,7.5,7.5
"1219",NA,NA,NA,"22:0-2:30","21:0-2:30","21:0-2:30","22:0-2:30",4,NA,NA,4.5,NA,5.5,5.5,4.5
"1220","6:0-20:30","6:0-8:30","6:0-20:30","6:0-20:0","6:0-19:0","8:0-12:0","9:0-11:0",7,14.5,2.5,14,14.5,13,4,2
"1221","6:0-20:0","6:0-20:0","6:0-20:0","6:0-20:0","6:0-20:0","6:0-20:0","6:0-20:0",7,14,14,14,14,14,14,14
"1222","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0","11:0-20:0",NA,NA,5,9,9,9,9,9,NA,NA
"1223",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1224","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30",7,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"1225",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1226",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1227","7:0-2:0","7:0-2:0","7:0-2:0","7:0-2:0","7:0-2:0","7:0-2:0","9:0-2:0",7,19,19,19,19,19,19,17
"1228","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","8:0-22:0","8:0-19:0",7,14,14,14,14,14,14,11
"1229","0:0-0:0","11:0-20:0","11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-0:0",7,0,9,13,13,14,14,13
"1230",NA,NA,NA,"22:0-2:0","22:0-2:0","22:0-2:0","22:0-2:0",4,NA,NA,4,NA,4,4,4
"1231",NA,"18:0-2:0","18:0-2:0","18:0-2:0","17:0-2:30","18:0-2:30","18:0-2:0",6,NA,8,8,8,9.5,8.5,8
"1232","0:0-0:0","11:0-15:0","11:0-0:0","11:0-0:0","11:0-1:30","11:0-1:30","11:0-0:0",7,0,4,13,13,14.5,14.5,13
"1233","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","10:0-23:0","10:0-22:0",7,11,11,12,11,12,13,12
"1234","0:0-0:0",NA,"16:0-22:0","16:0-22:0","16:0-0:0","16:0-0:0",NA,5,0,NA,6,6,8,8,NA
"1235",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1236","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","10:0-22:0",7,11,11,11,11,12,12,12
"1237","15:0-0:0","15:0-0:0","15:0-0:0","15:0-0:0","15:0-0:0","11:0-0:0","11:0-0:0",7,9,9,9,9,9,13,13
"1238","9:0-1:0","9:0-1:0","9:0-1:0","9:0-1:0","9:0-2:30","9:0-2:30","9:0-2:0",7,16,16,16,16,17.5,17.5,17
"1239","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"1240",NA,"16:0-22:0","16:0-22:0","16:0-22:0","16:0-0:0","11:0-0:0",NA,5,NA,6,6,6,8,13,NA
"1241","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,11,11,11,11,12,12,11
"1242",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1243",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1244","12:0-2:0","12:0-2:0","16:0-0:0","16:0-0:0","16:0-0:0","12:0-2:0","12:0-2:0",7,14,14,8,8,8,14,14
"1245","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:30-20:0",7,10,10,10,10,11,11,8.5
"1246","14:0-2:0","14:0-2:0","14:0-2:0","14:0-2:0","14:0-2:0","14:0-2:0",NA,6,12,12,12,12,12,12,NA
"1247","13:0-2:0","13:0-2:0","13:0-2:0","13:0-2:0","11:0-2:0","15:0-2:0",NA,6,13,13,13,13,15,11,NA
"1248","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:30","11:0-22:30","12:0-21:30",7,11,11,11,11,11.5,11.5,9.5
"1249","8:0-21:0","8:0-21:0","8:0-21:0","8:0-21:0","8:0-21:0","8:0-21:0","9:0-20:0",7,13,13,13,13,13,13,11
"1250","10:0-18:0","10:0-18:0","10:0-18:0","9:0-20:0","9:0-18:0","9:0-15:0","10:0-15:0",7,8,8,11,8,9,6,5
"1251",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1252","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-21:0",7,11,11,11,11,12,12,10
"1253","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-2:0","11:0-2:0","11:0-22:0",7,11,11,11,11,15,15,11
"1254","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0",NA,6,11,11,11,11,11,11,NA
"1255","15:0-22:0","15:0-22:0","15:0-22:0","15:0-22:0","11:0-23:0","11:0-23:0","11:0-21:0",7,7,7,7,7,12,12,10
"1256","11:0-22:0","11:0-22:0","1:0-9:0","11:0-22:0","11:0-22:30","11:0-22:30","11:30-21:30",7,11,11,11,8,11.5,11.5,10
"1257","15:0-0:0","15:0-0:0","15:0-0:0","15:0-0:0","15:0-2:0","10:0-2:0","10:0-22:0",7,9,9,9,9,11,16,12
"1258","0:0-0:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","12:0-21:0",7,0,11,11,11,12,12,9
"1259",NA,"15:0-20:0","15:0-20:0","15:0-20:0","13:0-21:30","13:0-21:30",NA,5,NA,5,5,5,8.5,8.5,NA
"1260","9:0-2:30","9:0-2:30","9:0-2:30","9:0-2:30","9:0-2:30","9:0-2:30","11:0-2:30",7,17.5,17.5,17.5,17.5,17.5,17.5,15.5
"1261",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1262",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1263",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1264","11:30-22:0","11:30-22:0","11:30-22:0","11:0-21:0","11:30-23:0","17:0-23:0","17:0-21:0",7,10.5,10.5,10,10.5,11.5,6,4
"1265",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1266","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",NA,6,15,15,15,15,15,15,NA
"1267","0:0-0:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0",NA,6,0,11,11,11,11,11,NA
"1268",NA,"9:0-17:0","7:0-17:0","7:0-17:0","7:0-17:0","7:0-14:0",NA,5,NA,8,10,10,10,7,NA
"1269","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-1:0","11:0-1:0","12:0-23:0",7,12,12,12,12,14,14,11
"1270","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0",7,10,10,10,10,10,10,10
"1271",NA,NA,"17:0-0:0","17:0-0:0","17:0-0:0","17:0-0:0",NA,4,NA,NA,7,7,7,7,NA
"1272","11:0-0:0","11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-0:0",7,13,13,14,13,14,14,13
"1273","0:0-0:0","11:0-20:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-1:30",7,0,9,11,11,11,11,14.5
"1274","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:30","11:0-2:30","11:0-2:0",7,15,15,15,15,15.5,15.5,15
"1275","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0",7,14,14,14,14,14,14,14
"1276",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1277","0:0-0:0","8:0-18:0","8:0-18:0","8:0-18:0","8:0-18:0","8:0-18:0","9:0-17:0",7,0,10,10,10,10,10,8
"1278",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1279","19:0-1:0","19:0-1:0","19:0-1:0","19:0-2:0","19:0-2:0","19:0-2:0",NA,6,6,6,7,6,7,7,NA
"1280",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1281",NA,NA,"18:0-2:0","18:0-2:0","18:0-2:0","18:0-2:0","18:0-2:0",5,NA,NA,8,8,8,8,8
"1282","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","10:0-21:0","11:0-18:0",7,11,11,11,11,11,11,7
"1283","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-1:0",7,14,14,14,14,14,14,14
"1284","8:0-18:30","8:0-18:30","8:0-18:30","8:0-18:30","8:0-18:30","9:0-14:0","9:0-14:0",7,10.5,10.5,10.5,10.5,10.5,5,5
"1285","0:0-0:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,0,11,11,11,12,12,11
"1286","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0","9:0-17:0",7,8,8,8,8,8,8,8
"1287","0:0-0:0","16:0-2:0","16:0-22:0","16:0-2:0","16:0-2:0","16:0-2:0","21:0-2:15",7,0,10,10,6,10,10,5.25
"1288","17:0-1:0","17:0-1:0","17:0-1:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-1:0",7,8,8,9,8,9,9,8
"1289","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-1:0","11:0-1:0","11:0-0:0",7,13,13,13,13,14,14,13
"1290","15:30-1:0","15:30-1:0","15:30-1:0","15:30-1:0","15:30-2:30","12:0-2:30","13:0-0:0",7,9.5,9.5,9.5,9.5,11,14.5,11
"1291","0:0-0:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-2:0","11:0-2:0","11:0-23:0",7,0,12,12,12,15,15,12
"1292","17:0-22:0","17:0-22:0","17:0-22:0","17:0-22:0","17:0-23:0","17:0-23:0","17:0-21:0",7,5,5,5,5,6,6,4
"1293","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0","12:0-22:0","12:0-19:0",7,10,10,10,10,10,10,7
"1294","5:30-2:0","5:30-2:0","5:30-2:0","5:30-2:0","5:30-2:0","5:30-2:0",NA,6,20.5,20.5,20.5,20.5,20.5,20.5,NA
"1295","0:0-0:0","6:30-21:0","6:30-21:0","6:30-21:0","6:30-21:0","9:0-21:0","9:0-21:0",7,0,14.5,14.5,14.5,14.5,12,12
"1296","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,15,15,15,15,15,15,15
"1297","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","15:0-2:0","11:0-2:0","11:0-2:0",7,11,11,11,11,11,15,15
"1298","21:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0","17:0-2:0",NA,6,5,9,9,9,9,9,NA
"1299",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1300","17:0-22:0","17:0-22:0","17:0-22:0","11:30-23:0","11:30-23:0","11:30-23:0","17:0-21:0",7,5,5,11.5,5,11.5,11.5,4
"1301","16:0-2:0","16:0-2:0","16:0-2:0","16:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0",7,10,10,10,10,15,15,15
"1302","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-2:0","11:0-2:0",7,13,13,13,13,13,15,15
"1303","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30","11:0-21:30",7,10.5,10.5,10.5,10.5,10.5,10.5,10.5
"1304","0:0-0:0","11:0-1:0","11:0-1:0","11:0-1:0","11:0-2:0","11:0-2:0","10:0-22:0",7,0,14,14,14,15,15,12
"1305","11:0-23:0","11:0-23:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-22:0",7,12,12,15,15,15,15,11
"1306","10:0-2:0","10:0-2:0","10:0-2:0","16:0-2:0","10:0-2:30","10:0-2:30","10:0-2:0",7,16,16,10,16,16.5,16.5,16
"1307","11:0-16:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-22:0","11:0-22:0","11:0-21:0",7,5,10,10,10,11,11,10
"1308","11:0-22:30","11:0-22:30","11:0-22:30","11:0-22:30","11:0-23:0","12:0-23:0","12:0-22:0",7,11.5,11.5,11.5,11.5,12,11,10
"1309","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0","11:0-0:0",7,13,13,13,13,13,13,13
"1310","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-21:0",7,11,11,11,11,12,12,10
"1311","0:0-0:0","7:30-17:0","7:30-17:0","7:30-17:0","7:30-17:0","7:30-15:0",NA,6,0,9.5,9.5,9.5,9.5,7.5,NA
"1312",NA,NA,"11:0-2:0","11:0-2:0","11:0-2:0","12:0-2:0","12:0-0:0",5,NA,NA,15,15,15,14,12
"1313","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30",7,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"1314",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1315","7:0-20:0","7:0-20:0","7:0-20:0","7:0-20:0","7:0-20:0","7:0-19:0","7:0-20:0",7,13,13,13,13,13,12,13
"1316","11:0-23:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","14:0-0:0","14:0-23:0",7,12,12,12,12,13,10,9
"1317","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","12:0-2:0",7,15,15,15,15,15,15,14
"1318","16:30-21:30","16:30-21:30","16:30-21:30","16:30-21:30","16:30-22:30","14:0-22:30","12:0-20:30",7,5,5,5,5,6,8.5,8.5
"1319","16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0","16:0-22:0",7,6,6,6,6,6,6,6
"1320","11:30-22:0","11:30-22:0","11:30-22:0","11:30-22:0","11:30-0:0","11:30-0:0","11:30-22:0",7,10.5,10.5,10.5,10.5,12.5,12.5,10.5
"1321","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-2:30","11:0-2:30","8:0-1:0",7,15,15,15,15,15.5,15.5,17
"1322","6:0-2:0","6:0-2:0","6:0-2:0","6:0-2:0","6:0-2:0","6:0-2:0","6:0-20:0",7,20,20,20,20,20,20,14
"1323",NA,"16:0-21:30","16:0-21:30","16:0-21:30","11:30-22:0","11:30-22:0","12:0-21:0",6,NA,5.5,5.5,5.5,10.5,10.5,9
"1324","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30","11:0-2:30",7,15.5,15.5,15.5,15.5,15.5,15.5,15.5
"1325",NA,NA,"12:0-19:0","10:0-19:0","10:0-16:0","10:0-16:0",NA,4,NA,NA,9,7,6,6,NA
"1326","6:30-13:30",NA,"6:30-13:30","6:30-13:30","6:30-13:30","6:30-13:30","7:30-13:30",6,7,NA,7,7,7,7,6
"1327","16:30-22:0","16:30-22:0","16:30-22:0","16:30-22:0","16:30-22:30","16:30-22:30","13:0-22:0",7,5.5,5.5,5.5,5.5,6,6,9
"1328",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1329",NA,"16:30-22:0","16:30-22:0","16:30-22:0","16:30-23:0","16:30-23:0","16:30-21:0",6,NA,5.5,5.5,5.5,6.5,6.5,4.5
"1330","12:0-2:30","17:0-2:30","17:0-2:30","17:0-2:30","17:0-2:30","12:0-2:30","12:0-0:0",7,14.5,9.5,9.5,9.5,9.5,14.5,12
"1331","17:0-21:30","17:0-21:30","17:0-21:30","17:0-21:30","17:0-22:30","17:0-22:30","15:0-21:30",7,4.5,4.5,4.5,4.5,5.5,5.5,6.5
"1332",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1333","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0",NA,6,11,11,11,11,11,11,NA
"1334","15:30-22:0","15:30-22:0","15:30-22:0","15:30-22:0","11:0-23:0","11:0-23:0","11:0-23:0",7,6.5,6.5,6.5,6.5,12,12,12
"1335","0:0-0:0","17:0-17:15","16:30-22:0","16:30-22:0","11:30-21:0","17:30-21:30",NA,6,0,15,5.5,5.5,9.5,4,NA
"1336","11:0-0:30","11:0-0:30","11:0-0:30","11:0-0:30","11:0-1:20","11:0-1:20","11:0-23:30",7,13.5,13.5,13.5,13.5,14.3333333333333,14.3333333333333,12.5
"1337",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1338","15:0-0:0","11:30-0:0","11:30-0:0","11:30-0:0","11:30-0:0","16:0-0:0","16:0-22:0",7,9,12.5,12.5,12.5,12.5,8,6
"1339","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","9:0-21:0","9:0-21:0",7,14,14,14,14,14,12,12
"1340","8:0-21:0","8:0-21:0","8:0-21:0","10:0-18:0","8:0-21:0","9:0-21:0","10:0-20:0",7,13,13,8,13,13,12,10
"1341","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","7:0-21:0","9:0-21:0","10:0-20:0",7,14,14,14,14,14,12,10
"1342","0:0-0:0","11:0-23:0","11:0-23:0","11:0-23:0","11:0-0:0","11:0-0:0","11:0-22:0",7,0,12,12,12,13,13,11
"1343","12:0-2:0","12:0-2:0","12:0-2:0","12:0-2:0","12:0-2:0","12:0-2:0","12:0-2:0",7,14,14,14,14,14,14,14
"1344","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-0:0","11:0-0:0","10:0-14:0",7,11,11,11,11,13,13,4
"1345","16:0-1:0","16:0-1:0","16:0-1:0","16:0-1:0","15:0-1:0","12:0-1:0","12:0-23:0",7,9,9,9,9,10,13,11
"1346","9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0","9:0-18:0",7,9,9,9,9,9,9,9
"1347","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0","8:0-16:0","11:0-16:0",7,11,11,11,11,9,8,5
"1348",NA,"15:0-22:0","15:0-22:0","15:0-0:0","15:0-2:30","15:0-2:30","15:0-22:0",6,NA,7,9,7,11.5,11.5,7
"1349","0:0-0:0","11:0-18:0","11:0-21:0","11:0-21:0","11:0-21:0","11:0-21:0",NA,6,0,7,10,10,10,10,NA
"1350",NA,NA,"13:0-23:0","13:0-23:0","13:0-23:0","11:0-23:0","11:0-21:0",5,NA,NA,10,10,10,12,10
"1351","8:0-17:30","8:0-18:0","8:0-18:0","8:0-17:30","8:0-17:30","8:0-12:0",NA,6,9.5,10,9.5,10,9.5,4,NA
"1352","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,11,11,11,11,12,12,11
"1353","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-20:0","9:0-18:0","12:0-17:0",7,11,11,11,11,11,9,5
"1354","0:0-0:0","14:0-20:0","14:0-0:0","14:0-0:0","14:0-0:0","12:0-0:0","12:0-22:0",7,0,6,10,10,10,12,10
"1355",NA,"9:0-14:0","9:0-14:0","9:0-14:0","9:0-14:0","9:0-14:0",NA,5,NA,5,5,5,5,5,NA
"1356",NA,"17:0-23:0","17:0-23:0","17:0-23:0","17:0-0:0","17:0-0:0","10:0-15:0",6,NA,6,6,6,7,7,5
"1357","10:30-1:0","10:30-1:0","10:30-2:30","10:30-2:30","10:30-2:30","10:30-2:30","10:30-1:0",7,14.5,14.5,16,16,16,16,14.5
"1358","11:0-0:0","11:0-1:0","11:0-1:0","11:0-2:0","11:0-2:0","11:0-2:0","11:0-0:0",7,13,14,15,14,15,15,13
"1359","0:0-0:0",NA,"17:0-22:0","17:0-22:0","17:0-23:0","17:0-23:0","17:0-22:0",6,0,NA,5,5,6,6,5
"1360","15:0-2:30","15:0-2:30","15:0-2:30","15:0-2:30","15:0-2:30","11:0-2:30","11:0-2:30",7,11.5,11.5,11.5,11.5,11.5,15.5,15.5
"1361","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","11:0-22:0","12:0-21:0",7,11,11,11,11,11,11,9
"1362","0:0-0:0","11:0-17:0","11:0-22:0","11:0-22:0","11:0-23:0","11:0-23:0","11:0-22:0",7,0,6,11,11,12,12,11
"1363",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
"1364",NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA
